id,work_type,title,description,status,priority,asset_id,location_id,system_id,pm_template_id,assigned_to_user_id,requested_by_user_id,created_at,scheduled_date,completed_at,wo_number,estimated_hours,assigned_to,requested_by,total_cost,labor_cost,parts_cost
WO-2025-001,PM,PM Generator รายสัปดาห์ - LAK-GEN-01,บำรุงรักษาเชิงป้องกันตามแผน,Completed,2,LAK-GEN-01,LOC017,SYS001,,208176d1-540c-42d0-a707-8ccddbec13ad,e4d99a34-5848-4ece-9aab-a9539a5fd761,2025-07-25T09:29:05.335969+00:00,2025-07-21T02:00:00+00:00,2025-07-21T03:30:00+00:00,WO-WO-2025-001,2,,,0,0,0
WO-2025-002,CM,พัดลมระบายอากาศโรงเรือน 5 เสีย,พัดลม LAK-FAN-02 ที่โรงเรือน 5 มีเสียงดังผิดปกติและไม่หมุน,In Progress,1,LAK-FAN-02,LOC005,SYS002,,208176d1-540c-42d0-a707-8ccddbec13ad,e4d99a34-5848-4ece-9aab-a9539a5fd761,2025-07-25T09:29:05.335969+00:00,,,WO-WO-2025-002,2,,,0,0,0
WO-2025-003,Install,ติดตั้งปั๊มน้ำเสริมสำหรับโรงปุ๋ย TKB,ติดตั้งปั๊มน้ำ TKB-PUMP-01 ตัวใหม่พร้อมเดินท่อและระบบไฟฟ้า,Open,2,,LOC025,SYS021,,,e4d99a34-5848-4ece-9aab-a9539a5fd761,2025-07-25T09:29:05.335969+00:00,2025-08-01T02:00:00+00:00,,WO-WO-2025-003,2,,,0,0,0
WO-2025-004,Modify,ปรับปรุงตู้ควบคุมระบบลำเลียงไข่ LAK,เพิ่มระบบแจ้งเตือน Overload และเปลี่ยน Timer ใหม่,Open,3,LAK-ECS-01,LOC007,SYS003,,208176d1-540c-42d0-a707-8ccddbec13ad,e4d99a34-5848-4ece-9aab-a9539a5fd761,2025-07-25T09:29:05.335969+00:00,2025-08-04T02:00:00+00:00,,WO-WO-2025-004,2,,,0,0,0
WO-2025-005,Inspection,ตรวจสอบจุดร้อนตู้ MDB ศูนย์นม SM ประจำปี,ใช้กล้อง Thermal Camera ตรวจสอบจุดเชื่อมต่อไฟฟ้าแรงสูงทั้งหมด,Scheduled,2,SM-MDB-01,LOC040,SYS027,,208176d1-540c-42d0-a707-8ccddbec13ad,e4d99a34-5848-4ece-9aab-a9539a5fd761,2025-07-25T09:29:05.335969+00:00,2025-08-15T03:00:00+00:00,,WO-WO-2025-005,2,,,0,0,0
wo1,corrective,Replace Conveyor Belt,"Belt showing signs of wear, needs replacement",pending,2,asset1,loc1,sys1,,,,2025-07-26T01:54:20.592972+00:00,2024-01-20T08:00:00+00:00,,WO-wo1,2,,,0,0,0
wo2,preventive,Monthly CNC Maintenance,Scheduled preventive maintenance,in_progress,3,asset2,loc1,sys1,pmt2,,,2025-07-26T01:54:20.592972+00:00,2024-01-18T14:00:00+00:00,,WO-wo2,2,,,0,0,0
wo3,preventive,Pump Filter Replacement,Quarterly filter service due,completed,3,asset3,loc2,sys2,pmt3,,,2025-07-26T01:54:20.592972+00:00,2024-01-15T10:00:00+00:00,,WO-wo3,2,,,0,0,0
wo4,preventive,Generator Load Test,Monthly generator testing,pending,2,asset4,loc3,sys3,pmt4,,,2025-07-26T01:54:20.592972+00:00,2024-01-22T09:00:00+00:00,,WO-wo4,2,,,0,0,0
wo5,emergency,HVAC Emergency Repair,System not cooling properly,pending,1,asset5,loc5,sys2,,,,2025-07-26T01:54:20.592972+00:00,2024-01-19T16:00:00+00:00,,WO-wo5,2,,,0,0,0
